profile_requirement_id,procedure_id,number_of_profile_requirements,number_of_thematic_keywords,number_of_methodological_keywords,number_of_experience_requirements,number_of_project_lab_centre_references,number_of_language_requirements,has_highly_specific_topic_method_experience_combination,profile_excerpt_1,profile_excerpt_2,profile_specificity_score,profile_specificity_class,human_review_required,notes
ACU-PILOT-0001-PR-01,ACU-PILOT-0001,1,5,4,3,1,0,true,"Le attività ... sono legate allo sviluppo del progetto: 'Sviluppo di un modello di valutazione del rischio per la salute umana basato sull’analisi integrata di microbiomi animali, alimentari ed ambientali'.","... sequenziamento massivo (NGS) ... spettrometria di massa (MALDI-TOF) ... whole genome sequencing (WGS) ... analisi bioinformatica ...",20.4,high,false,"Coding based on call notice (BANDO) documentary text only. Language requirements not explicitly stated in the call text excerpt reviewed."
ACU-PILOT-0002-PR-01,ACU-PILOT-0002,1,5,4,1,1,0,false,"Le attività ... sono legate allo sviluppo del progetto: 'Dimensioni di variazione tra tipologia e sociolinguistica'.","... specifica attenzione alla microvariazione ... aspetti morfosintattici ... prospettiva sincronica e diacronica ... capacità di creare e gestire ... banche dati e corpora.",13.0,medium,false,"Profile coding based on official BANDO text only. Experience requirements counted only for explicit prior-background requirement (dottorato), excluding forward-looking productivity objectives per calibration rule."
ACU-PILOT-0006-PR-01,ACU-PILOT-0006,1,2,0,1,0,1,false,"Specifiche funzioni: l’impegno scientifico consisterà nella conduzione di ricerche nel settore INFO-01/A - Informatica con particolare riferimento all’Intelligenza Artificiale.","Lingua straniera di cui è richiesta la conoscenza: Inglese.",5.5,low,false,"Profile coding based on official Unical call notice (DR 934/2025) linked from the official source page. Experience requirements counted only for explicit prior-qualification requirement (dottorato/equivalente), excluding forward-looking activity expectations per calibration rule."
ACU-PILOT-0007-PR-01,ACU-PILOT-0007,1,3,0,1,0,1,false,"Specifiche funzioni: l’impegno scientifico consisterà nella conduzione di ricerche nel settore MATH-03/A con particolare riferimento allo studio delle equazioni alle derivate parziali.","L’impegno didattico ... per i corsi di studio triennali e magistrali ... anche in lingua inglese.",6.5,low,false,"Profile coding from official Unical call notice DR 1008/2025 (R14_2025 section). Experience requirements counted only for explicit prior-qualification requirement (dottorato/equivalente) per calibration rule; confidence level: high."
ACU-PILOT-0009-PR-01,ACU-PILOT-0009,1,4,1,1,0,1,false,"Specifiche funzioni: ... ricerche nel settore PHYS-06/B ed in particolare lo sviluppo e la validazione di attività di apprendimento innovative delle scienze empiriche nella scuola primaria ...","... nonché lo sviluppo di attività di apprendimento laboratoriali per la scuola secondaria e per la formazione dei docenti ... anche in lingua inglese.",8.5,medium,false,"Profile coding from official Unical call notice DR 1008/2025 (R15_2025 section). Experience requirements counted only for explicit prior-qualification requirement (dottorato/equivalente) per calibration rule; confidence level: high."
ACU-PILOT-0010-PR-01,ACU-PILOT-0010,1,4,2,1,0,1,false,"Specifiche funzioni ... attività di ricerca e didattica nel SSD CEAR-01/B ... Modellazione dei fenomeni di flusso e trasporto di massa all’interno di mezzi porosi.","... Caratterizzazione di materiali innovativi e sviluppo di modelli interpretativi per sistemi filtranti ... bonificare le acque ... o recuperare Critical Raw Materials.",9.5,medium,false,"Profile coding from official Unical call notice DR 1008/2025 (R12_2025 section). Experience requirements counted only for explicit prior-qualification requirement (dottorato/equivalente) per calibration rule; confidence level: high."
ACU-PILOT-0003-PR-01,ACU-PILOT-0003,1,4,0,1,0,1,false,"RIF. ... 1948 ... SSD MEDS-17/A ... Specifiche funzioni ... compiti didattici nei CdL di Medicina e Scuola di Specializzazione in Malattie dell’apparato visivo.","Impegno scientifico/assistenziale su ambiti oftalmologici (es. cornea/superficie oculare, conservazione e utilizzo di tessuti di origine oculare). Eventuali competenze linguistiche ulteriori: Inglese.",7.5,low,false,"Profile extracted from the call section explicitly attributable to Rif. 1948 in the official Unibo call notice. Experience count reflects explicit prior-qualification requirement for the role, not forward-looking productivity expectations (calibration rule)."
ACU-PILOT-0004-PR-01,ACU-PILOT-0004,1,4,2,1,0,1,false,"RIF. ... 1964 ... SSD IIND-03/A ... Specifiche funzioni: attività didattiche prevalenti sui corsi di Ingegneria Meccanica.","Tematiche indicate nel bando: progettazione di macchine automatiche, progettazione di componenti in materiale composito, progettazione mediante tecnologie additive; attività formative anche in lingua inglese.",9.5,medium,false,"Profile extracted from the call section explicitly attributable to Rif. 1964 in the official Unibo call notice. Experience count reflects explicit prior-qualification requirement for the role, excluding forward-looking productivity expectations (calibration rule)."
ACU-PILOT-0005-PR-01,ACU-PILOT-0005,1,2,0,1,0,1,false,"RIF. ... 1967 ... SSD INFO-01/A ... Specifiche funzioni: insegnamenti del SSD INFO-01/A secondo esigenze di copertura didattica.","Per Rif. 1967 il testo visibile del bando indica impegno didattico/scientifico nel settore INFO-01/A e competenze linguistiche ulteriori in inglese.",5.5,low,false,"Profile extracted only from the Rif. 1967 segment in the official Unibo call notice. Experience count reflects explicit prior-qualification requirement for the role per calibration rule."
ACU-PILOT-0008-PR-01,ACU-PILOT-0008,1,2,0,1,0,1,false,"Codice identificativo PO_5_2025 ... SSD BIOS-07/A - Biochimica. Tipologia di impegno scientifico: tematiche di ricerca proprie del SSD BIOS-07/A.","Numero massimo pubblicazioni: 25. Lingua straniera: Inglese.",5.5,low,false,"Profile extracted from official Unical call notice for PO_5_2025 (DIBEST). Experience requirements counted only for explicit prior-qualification requirement for the role, excluding forward-looking productivity expectations (calibration rule)."
