evaluation_criterion_id,procedure_id,criteria_available,criteria_publication_date,number_of_criteria,number_of_subcriteria,has_weights,has_thresholds,has_eliminatory_criteria,number_of_criteria_linked_to_profile,share_non_quantified_discretionary_criteria,criteria_excerpt_1,criteria_excerpt_2,criteria_narrowness_score,criteria_narrowness_class,human_review_required,notes
ACU-PILOT-0001-EC-01,ACU-PILOT-0001,true,2025-09-04,12,10,true,true,false,2,0.2,Il punteggio ... sarà espresso in 100/100 ... idoneità ... uguagliare o superare ... 70/100.,Valutazione dei titoli e del curriculum max 40/100 ... Valutazione della produzione scientifica max 60/100.,31.1,very_high,true,"Criteria coded from official evaluation-criteria document only. Primary criteria counted from explicit labeled blocks; subcriteria counted from clearly enumerated a1-a3, b1-b3, d1-d4."
ACU-PILOT-0002-EC-01,ACU-PILOT-0002,true,2025-04-04,11,0,true,true,false,2,0.4,Il punteggio ... sarà espresso in 100/100 ... per il conseguimento dell'idoneità i candidati dovranno uguagliare o superare il punteggio complessivo di 70/100.,"Valutazione dei titoli e del curriculum ... max 40/100; valutazione della produzione scientifica ... max 60/100; criteri su originalità, congruenza con il GSD, rilevanza editoriale e apporto individuale.",23.5,high,false,Criteria coding based on official criteria document only. Subcriteria count set to 0 applying calibration rule: scoring bands are not counted as subcriteria unless explicitly labelled as such.
ACU-PILOT-0006-EC-01,ACU-PILOT-0006,true,2025-11-03,13,0,true,false,false,2,0.35,"Titoli: max 52 punti; Pubblicazioni: max 48 punti. Per le pubblicazioni sono definiti i criteri P1-P4 (originalità/rigore, congruenza col settore, rilevanza editoriale, apporto individuale).",Per i titoli risultano criteri distinti (a-i) con attribuzione di punteggi massimi; durante la discussione pubblica è previsto anche l’accertamento della lingua straniera indicata nel bando.,21.0,high,false,Criteria coding based on official Unical criteria document (Verbale 1 e criteri R10_2025 INFO-01_A) listed on the official source page. Subcriteria count set to 0 applying calibration rule: scoring bands are not counted as subcriteria unless explicitly labelled as such.
ACU-PILOT-0007-EC-01,ACU-PILOT-0007,true,2025-10-06,13,0,true,false,false,2,0,"Il verbale criteri per la procedura R14_2025 riporta criteri su titoli/curriculum e criteri comparativi delle pubblicazioni (originalità, congruenza col settore, rilevanza editoriale, apporto individuale).",Criteri codificati su base documentale dalla fonte ufficiale Unical; non risultano soglie esplicite tipo 70/100 nel testo estratto.,,not_determinable,true,Criteria coding from official Unical criteria document for R14_2025. Subcriteria count set to 0 applying calibration rule: scoring bands are not counted as subcriteria unless explicitly labelled as such; confidence level: medium due partial OCR noise in extracted text. Conservative update: criteria_narrowness_class set to not_determinable due partial OCR/noise in extracted text for detailed scoring decomposition.
ACU-PILOT-0009-EC-01,ACU-PILOT-0009,true,2025-09-18,13,0,true,false,false,2,0,"Titoli: max 40 punti; Pubblicazioni: max 60 punti; per le pubblicazioni sono definiti i criteri P1-P4 (originalità/rigore, congruenza col settore, rilevanza editoriale, apporto individuale).",Nel verbale è prevista anche la verifica della lingua straniera in discussione pubblica; non risultano soglie esplicite tipo 70/100 nel testo estratto.,,not_determinable,true,Criteria coding from official Unical criteria document for R15_2025. Subcriteria count set to 0 applying calibration rule: scoring bands are not counted as subcriteria unless explicitly labelled as such; confidence level: high. Conservative update: criteria_narrowness_class set to not_determinable due partial OCR/noise in extracted text for detailed scoring decomposition.
ACU-PILOT-0010-EC-01,ACU-PILOT-0010,true,2025-09-26,13,0,true,false,false,2,0,"Il verbale criteri per R12_2025 riporta criteri su titoli/curriculum e criteri comparativi delle pubblicazioni (originalità, congruenza col settore, rilevanza editoriale, apporto individuale).",Criteri codificati su base documentale dalla fonte ufficiale Unical; non risultano soglie esplicite tipo 70/100 nel testo estratto.,,not_determinable,true,Criteria coding from official Unical criteria document for R12_2025. Subcriteria count set to 0 applying calibration rule: scoring bands are not counted as subcriteria unless explicitly labelled as such; confidence level: medium due partial OCR noise in extracted text. Conservative update: criteria_narrowness_class set to not_determinable due partial OCR/noise in extracted text for detailed scoring decomposition.
ACU-PILOT-0003-EC-01,ACU-PILOT-0003,true,,0,0,false,false,false,0,0,"Verbale unico e criteri di valutazione disponibile per Rif. 1948 (SSD MEDS-17/A).","Document available, but extracted text is partially incomplete/noisy for a reliable fine-grained decomposition of criteria/subcriteria and scoring structure.",,not_determinable,true,"Conservative coding: criteria_narrowness_class set to not_determinable because the available extraction does not support robust criterion-by-criterion quantification for Rif. 1948 without risking over-interpretation."
ACU-PILOT-0004-EC-01,ACU-PILOT-0004,true,,0,0,false,false,false,0,0,"Verbale 1 e criteri di valutazione disponibile per Rif. 1964 (SSD IIND-03/A).","Document available, but extracted text is partially incomplete/noisy for a reliable fine-grained decomposition of criteria/subcriteria and scoring structure.",,not_determinable,true,"Conservative coding: criteria_narrowness_class set to not_determinable because the available extraction does not support robust criterion-by-criterion quantification for Rif. 1964 without risking over-interpretation."
ACU-PILOT-0005-EC-01,ACU-PILOT-0005,true,,0,0,false,false,false,0,0,"Verbale 1 e criteri di valutazione disponibile per Rif. 1967 (SSD INFO-01/A).","Document available, but extracted text is partially incomplete/noisy for a reliable fine-grained decomposition of criteria/subcriteria and scoring structure.",,not_determinable,true,"Conservative coding: criteria_narrowness_class set to not_determinable because the available extraction does not support robust criterion-by-criterion quantification for Rif. 1967 without risking over-interpretation."
ACU-PILOT-0008-EC-01,ACU-PILOT-0008,true,2025-09-03,0,0,false,false,false,0,0,"Criteri - Verbale 1 - Procedura PO_5_2025 disponibile su fonte ufficiale Unical.","Il testo estratto è solo parzialmente leggibile: sono visibili aree criteriali (didattica/ricerca, originalità, congruenza, apporto individuale), ma non una decomposizione robusta e completa per conteggi/ponderazioni.",,not_determinable,true,"Conservative coding: criteria_narrowness_class set to not_determinable because the criteria document is partially legible but not decomposition-safe for reliable criterion/subcriterion quantification."
